Spatial scale,Temporal regime,Data regime,Calibration methods,SA,Sampling,Metamodel
Building,Static,Data-rich,Optimization,No,No,Metamodel
Building,Dynamic,Data-mixed,ML,SA,No,No
Building,Static,Data-scarce,Manual,SA,Sampling,Metamodel
Building,Quasi-dynamic,Data-scarce,Optimization,SA,No,No
Building,Static,Data-mixed,Bayesian,SA,No,No
Building,Static,Data-mixed,Optimization,SA,No,No
Building,Static,Data-mixed,Bayesian,SA,Sampling,No
Building,Dynamic,Data-rich,Bayesian,No,No,No
Building,Dynamic,Data-rich,Optimization,No,Sampling,No
Building,Dynamic,Data-rich,Manual,No,No,No
Building,Dynamic,Data-rich,Optimization,SA,Sampling,Metamodel
Building,Quasi-dynamic,Data-scarce,Optimization,No,No,No
Building,Dynamic,Data-mixed,Manual,SA,No,No
Building,Dynamic,Data-rich,Optimization,SA,Sampling,No
Building,Static,Data-mixed,Bayesian,SA,No,No
Building,Dynamic,Data-scarce,Optimization,No,No,No
Building,Static,Data-mixed,Manual,No,No,No
Building,Dynamic,Data-rich,Optimization,SA,No,No
Building,Dynamic,Data-rich,Optimization,SA,Sampling,No
Building,Dynamic,Data-rich,Optimization,SA,Sampling,No
Building,Dynamic,Data-rich,Optimization,No,Sampling,No
Building,Static,Data-rich,Manual,No,No,No
Building,Dynamic,Data-scarce,Optimization,No,Sampling,No
Building,Static,Data-scarce,Manual,SA,No,Metamodel
Building,Quasi-dynamic,Data-rich,Manual,No,Sampling,Metamodel
Building,Static,Data-scarce,Manual,SA,No,Metamodel
Building,Static,Data-scarce,Bayesian,SA,No,Metamodel
Building,Quasi-dynamic,Data-rich,Manual,SA,No,No
Building,Static,Data-scarce,Manual,SA,Sampling,No
Building,Quasi-dynamic,Data-scarce,Manual,No,Sampling,Metamodel
Building,Static,Data-mixed,Manual,No,No,No
Building,Dynamic,Data-scarce,Optimization,No,No,Metamodel
Building,Quasi-dynamic,Data-scarce,Manual,SA,No,Metamodel
Building,Quasi-dynamic,Data-scarce,Manual,SA,No,No
Building,Static,Data-rich,Optimization,SA,No,No
Building,Static,Data-mixed,Manual,SA,No,No
Building,Dynamic,Data-rich,Optimization,No,No,No
Building,Quasi-dynamic,Data-rich,Bayesian,No,No,Metamodel
Building,Dynamic,Data-mixed,Optimization,SA,No,Metamodel
Building,Quasi-dynamic,Data-mixed,Manual,SA,Sampling,No
Building,Quasi-dynamic,Data-rich,Optimization,SA,No,Metamodel
Building,Dynamic,Data-rich,ML,SA,No,No
Building,Dynamic,Data-rich,Optimization,No,No,No
Building,Static,Data-rich,Bayesian,No,No,Metamodel
Building,Quasi-dynamic,Data-scarce,Bayesian,SA,Sampling,Metamodel
Building,Quasi-dynamic,Data-scarce,Bayesian,SA,No,No
Building,Dynamic,Data-scarce,ML,No,No,No
Building,Static,Data-mixed,Bayesian,No,No,No
Building,Dynamic,Data-scarce,Manual,SA,Sampling,No
Building,Static,Data-rich,Bayesian,No,No,No
Building,Static,Data-mixed,Manual,SA,No,No
Building,Dynamic,Data-scarce,Optimization,SA,No,Metamodel
Building,Quasi-dynamic,Data-rich,Bayesian,No,No,No
Building,Static,Data-mixed,Bayesian,No,No,No
Building,Dynamic,Data-rich,Optimization,No,Sampling,No
Building,Quasi-dynamic,Data-rich,Manual,SA,Sampling,Metamodel
Building,Dynamic,Data-scarce,Optimization,No,No,Metamodel
Building,Quasi-dynamic,Data-scarce,Optimization,No,No,No
Building,Dynamic,Data-rich,Optimization,SA,No,No
Building,Static,Data-mixed,Bayesian,No,No,No
Building,Dynamic,Data-rich,Optimization,No,No,No
Building,Dynamic,Data-rich,Optimization,SA,No,Metamodel
Building,Quasi-dynamic,Data-scarce,Bayesian,SA,No,No
Building,Static,Data-mixed,Manual,No,No,No
Building,Quasi-dynamic,Data-scarce,Optimization,SA,No,No
Building,Quasi-dynamic,Data-mixed,Optimization,No,No,No
Building,Quasi-dynamic,Data-scarce,Manual,No,No,No
Building,Dynamic,Data-rich,Optimization,SA,No,Metamodel
Building,Static,Data-mixed,Manual,No,No,Metamodel
Building,Dynamic,Data-rich,Optimization,No,No,No
Building,Dynamic,Data-mixed,Bayesian,No,No,No
Building,Dynamic,Data-rich,Optimization,No,No,Metamodel
Building,Dynamic,Data-rich,Optimization,SA,No,No
Building,Static,Data-rich,Bayesian,No,No,Metamodel
Building,Static,Data-mixed,Bayesian,No,Sampling,No
Building,Dynamic,Data-rich,Optimization,No,No,No
Building,Dynamic,Data-rich,Optimization,No,No,No
Building,Dynamic,Data-rich,Optimization,SA,No,Metamodel
Building,Dynamic,Data-scarce,Manual,SA,No,No
Building,Dynamic,Data-scarce,Manual,SA,No,Metamodel
Building,Static,Data-scarce,Manual,SA,No,Metamodel
Building,Dynamic,Data-scarce,Optimization,No,No,Metamodel
Building,Quasi-dynamic,Data-rich,Manual,SA,No,Metamodel
Building,Dynamic,Data-rich,Optimization,No,Sampling,No
Building,Dynamic,Data-scarce,Optimization,No,Sampling,No
Building,Dynamic,Data-scarce,Bayesian,No,No,Metamodel
Building,Quasi-dynamic,Data-rich,Bayesian,SA,No,No
Building,Dynamic,Data-scarce,Optimization,SA,Sampling,Metamodel
Building,Dynamic,Data-scarce,Optimization,SA,No,No
Building,Static,Data-scarce,Manual,SA,Sampling,No
Building,Quasi-dynamic,Data-rich,Manual,No,No,Metamodel
Building,Quasi-dynamic,Data-scarce,Optimization,SA,No,No
Building,Quasi-dynamic,Data-rich,Manual,SA,Sampling,No
Building,Quasi-dynamic,Data-mixed,Optimization,No,No,No
Building,Dynamic,Data-scarce,ML,SA,No,No
Building,Static,Data-mixed,Manual,SA,Sampling,No
Building,Quasi-dynamic,Data-scarce,Manual,No,Sampling,No
Building,Dynamic,Data-rich,Optimization,SA,No,No
Building,Quasi-dynamic,Data-scarce,Manual,No,No,No
Building,Quasi-dynamic,Data-scarce,Bayesian,No,No,No
Building,Dynamic,Data-scarce,Optimization,SA,No,No
Building,Dynamic,Data-mixed,Optimization,SA,No,Metamodel
Building,Dynamic,Data-scarce,Optimization,No,No,No
Building,Quasi-dynamic,Data-scarce,Optimization,No,No,No
Building,Dynamic,Data-rich,Optimization,No,Sampling,Metamodel
Building,Dynamic,Data-rich,Bayesian,No,No,No
Building,Quasi-dynamic,Data-rich,Manual,No,No,Metamodel
Building,Dynamic,Data-rich,Manual,No,Sampling,No
Building,Dynamic,Data-rich,Bayesian,SA,Sampling,No
Building,Quasi-dynamic,Data-scarce,Manual,SA,No,No
Building,Dynamic,Data-rich,Optimization,SA,No,Metamodel
Building,Static,Data-scarce,Manual,No,No,No
Building,Quasi-dynamic,Data-scarce,Optimization,No,No,Metamodel
Building,Static,Data-scarce,Optimization,No,Sampling,Metamodel
Building,Dynamic,Data-rich,Optimization,No,No,No
Building,Dynamic,Data-scarce,ML,No,No,No
Building,Dynamic,Data-scarce,Optimization,SA,No,No
Building,Quasi-dynamic,Data-rich,Manual,No,No,Metamodel
Building,Static,Data-mixed,Bayesian,SA,No,Metamodel
Building,Dynamic,Data-rich,Optimization,No,No,Metamodel
